,Date,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,SOHO CME,SOHO CME,SOHO CME,SOHO CME,SOHO&STEREO CME ,SOHO&STEREO CME ,SOHO&STEREO CME 
ID,Date,Onset [UT],Max. dI/dt [UT],Class,Lat. [°],Long. [°],1st obs. [UT],v [km s^{-1}],Width [°],PA [°],1st obs. [UT],v [km s^{-1}],S/C
1,2011 Jan. 28,28/01/11 00:44,28/01/11 00:58,M1.3,N16,W88,28/01/11 01:26,606,119,288,28/01/11 01:26,606, SOHO
2,2011 Feb. 15,15/02/11 01:44,15/02/11 01:52,X2.2,S20,W12,15/02/11 02:24,669,360,halo,15/02/11 02:24,1161,  STEREO-A
3,2011 Mar. 07,07/03/11 19:43,07/03/11 19:56,M3.7,N30,W48,07/03/11 20:00,2125,360,halo,07/03/11 20:00,2125,  SOHO
4,2011 Mar. 21,Farside,flare (EUVI),,N16,W130,21/03/11 02:24,1341,360,halo,21/03/11 02:24,1341,  SOHO
5,2011 Aug. 04,04/08/11 03:41,04/08/11 03:53,M9.3,N19,W36,04/08/11 04:12,1315,360,halo,04/08/11 04:12,1808,  STEREO-A
6,2011 Sep. 06,06/09/11 22:12,06/09/11 22:18,X2.1,N14,W18,06/09/11 23:06,575,360,halo,06/09/11 22:39,730, STEREO-B
7,2011 Sep. 22,22/09/11 10:29,22/09/11 10:44,X1.4,N09,E89,22/09/11 10:48,1905,360,halo,22/09/11 10:48,1905,  SOHO
8,2011 Oct. 04,Farside,flare (EUVI),,N33,E151,04/10/11 13:26,1101,360,halo,04/10/11 13:26,1101,  SOHO
9,2011 Nov. 03,Farside,flare (EUVI),,N12,E152,03/11/11 23:30,991,360,halo,03/11/11 22:39,991, SOHO
10,2012 Jan. 23,23/01/12 03:38,23/01/12 03:49,M8.7,N18,W25,23/01/12 04:00,2175,360,halo,23/01/12 03:24,2175,  SOHO
11,2012 Jan. 27,27/01/12 17:37,27/01/12 18:26,X1.7,N27,W71,27/01/12 18:28,2508,360,halo,27/01/12 18:28,2508,  SOHO
12,2012 Mar. 05,05/03/12 02:30,05/03/12 03:46,X1.1,N16,E54,05/03/12 04:00,1531,360,halo,05/03/12 02:54,1531,  SOHO
13,2012 Mar. 07,07/03/12 00:02,07/03/12 00:18,X5.4,N17,E27,07/03/12 00:24,2684,360,halo,07/03/12 00:24,2684,  SOHO
14,2012 Mar. 24,Farside,flare (EUVI),,N11,E166,24/03/12 00:24,1152,360,halo,24/03/12 00:24,1417,  STEREO-A
15,2012 May. 17,17/05/12 01:25,17/05/12 01:36,M5.1,N11,W76,17/05/12 01:48,1582,360,halo,17/05/12 01:48,1582,  SOHO
16,2012 Jul. 08,08/07/12 16:23,08/07/12 16:29,M6.9,S14,W83,08/07/12 16:54,1495,157,212,08/07/12 16:54,1495,  SOHO
17,2012 Jul. 12,12/07/12 15:37,12/07/12 16:32,X1.4,N13,W15,12/07/12 16:48,885,360,halo,12/07/12 16:48,1508,  STEREO-B
18,2012 Jul. 23,Farside,flare (EUVI),,S23,W137,23/07/12 02:36,2003,360,halo,23/07/12 02:36,3706,  STEREO-B
19,2012 Sep. 20,Farside, flare (EUVI),,S11,E159,20/09/12 15:12,1202,360,halo,20/09/12 15:12,2531,  STEREO-A
20,2012 Sep. 28,27/09/12 23:36,27/09/12 23:43,C3.7,N09,W32,28/09/12 00:12,947,360,halo,27/09/12 23:54,1137,  STEREO-A
21,2012 Nov. 08,Farside, flare (EUVI),,S06,W164,08/11/12 11:00,972,360,halo,08/11/12 11:00,1386,  STEREO-B
22,2013 Mar. 05,Farside, flare (EUVI),,N10,E145,05/03/13 03:48,1316,360,halo,05/03/13 03:48,1316,  SOHO
23,2013 Apr. 11,11/04/13 06:55,11/04/13 07:10,M6.5,N09,E12,11/04/13 17:24,861,360,halo,11/04/13 07:24,861, SOHO
24,2013 Apr. 24,Farside, flare (EUVI),,N10,W167,24/04/13 22:12,594,360,halo,24/04/13 22:12,594, SOHO
25,2013 May. 15,15/05/13 01:25,15/05/13 01:42,X1.2,N12,E64,15/05/13 01:48,1366,360,halo,15/05/13 01:48,1366,  SOHO
26,2013 May. 22,22/05/13 13:08,22/05/13 13:17,M5.0,S18,W15,22/05/13 13:26,1466,360,halo,22/05/13 13:24,2106,  STEREO-A
27,2013 Aug. 20,Farside, flare (EUVI),,N12,W178,19/08/13 23:12,877,360,halo,19/08/13 23:12,877, SOHO
28,2013 Sep. 30,29/09/13 21:43,29/09/13 21:48,C1.2,N10,W33,29/09/13 22:12,1179,360,halo,29/09/13 22:12,1179,  SOHO
29,2013 Oct. 05,Farside, flare (EUVI),,S24,E121,05/10/13 07:10,964,360,halo,05/10/13 07:10,964, SOHO
30,2013 Oct. 11,11/10/13 07:01,11/10/13 07:15,M1.5,S21,E44,11/10/13 07:24,1200,360,halo,11/10/13 07:24,1200,  SOHO
31,2013 Oct. 25,25/10/13 07:53,25/10/13 07:59,X1.7,S08,E73,25/10/13 08:12,587,360,halo,25/10/13 08:12,587, SOHO
32,2013 Oct. 28,28/10/13 15:07,28/10/13 15:11,M4.4,S08,E28,28/10/13 15:36,812,360,halo,28/10/13 15:36,812, SOHO
33,2013 Nov. 02,Farside, flare (EUVI),,N06,W133,02/11/13 04:48,828,360,halo,02/11/13 04:48,963, STEREO-B
34,2013 Nov. 07,Farside, flare (EUVI),,N02,E151,07/11/13 10:36,1405,360,halo,07/11/13 10:24,1405,  SOHO
35,2013 Dec. 26,Farside, flare (EUVI),,S10,E164,26/12/13 03:24,1336,360,halo,26/12/13 03:24,1399,  STEREO-A
36,2013 Dec. 28,Farside, flare (EUVI),,S13,W125,28/12/13 17:36,1118,360,halo,28/12/13 17:36,1118,  SOHO
37,2014 Jan. 06,06/01/14 07:27,06/01/14 07:43,C2.1,S15,W89,06/01/14 08:00,1402,360,halo,06/01/14 08:00,1402,  SOHO
38,2014 Jan. 07,07/01/14 18:04,07/01/14 18:18,X1.2,S12,W08,07/01/14 18:24,1830,360,halo,07/01/14 18:24,2240,  STEREO-A
39,2014 Feb. 25,25/02/14 00:39,25/02/14 00:46,X4.9,S12,E82,25/02/14 01:26,2147,360,halo,25/02/14 01:24,2147,  SOHO
40,2014 Mar. 04,04/03/14 18:04,04/03/14 18:22,C5.5,N12,W88,04/03/14 18:48,794,360,halo,04/03/14 18:48,1067,  STEREO-A
41,2014 Mar. 05,Farside, flare (EUVI),,N12,E179,05/03/14 13:48,828,360,halo,05/03/14 13:48,1045,  STEREO-A
42,2014 Sep. 01,Farside, flare (EUVI),,N14,E128,01/09/14 11:12,1901,360,halo,01/09/14 11:12,1901,  SOHO
43,2014 Sep. 10,10/09/14 17:21,10/09/14 17:33,X1.6,N14,E2,10/09/14 18:00,1267,360,halo,10/09/14 17:54,1267,  SOHO
44,2014 Sep. 25,Farside, flare (EUVI),,N13,E175,24/09/14 21:30,1350,360,halo,24/09/14 21:24,1350,  SOHO
45,2014 Dec. 13,Farside, flare (EUVI),,S25,W141,13/12/14 14:24,2222,360,halo,13/12/14 14:24,2222,  SOHO
46,2015 Jul. 01,,,,,,01/07/15 14:36,1435,360,halo,01/07/15 14:36,1435,  SOHO
