,Date,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+
ID,Date,Onset [UT],∆φ [°],"Imax [pfu MeV-1]
",Dur. [h],p+ fluence [cm-2 sr-1],Onset Date,Onset [UT],∆φ [°],"Imax [pfu MeV-1]
",Rise time [h],Dur. [h],p+ fluence [cm-2 sr-1],Onset Date,Onset [UT],∆φ [°],"Imax [pfu MeV-1]
",Rise time [h],Dur. [h],p+ fluence [cm-2 sr-1]
1,2011 Jan. 28,01:56,88,3.5e−3,72.4,75000, 2011 Jan. 28,02:37:00,1,0.0031,0.8±0.2,55.5,74000,,,,,,,
2, 2011 Feb. 15,03:39,10,1.2e−3,76.4,53000,,,,,,,, 2011 Feb. 15,03:18,104,  8.6e−3,1.2±0.2,64.2,200000
3, 2011 Mar. 07,21:06,48,8.0e−3,170.7,2800000, 2011 Mar. 08,19:14:00,-40,0.0022,2.5±0.9,82.1,1200000, 2011 Mar. 07,21:46,143,  4.6e−2,0.0±0.2,122.7,1800000
4, 2011 Mar. 21,03:27,130, 1.1e−2,151.6,580000, 2011 Mar. 21,02:56:00,42,2.2,1.3±0.2,182.4,25000000,,,,,,,
5, 2011 Aug. 04,04:40,36,8.5e−2,109.8,5000000, 2011 Aug. 05,06:49:00,-65,0.0019,36.4±2.4,89.2,140000, 2011 Aug. 04,20:26,128,  2.4e−3,2.4±1.2,99.6,130000
6, 2011 Sep. 06,23:27,28,1.8e−2,178,390000,,,,,,,, 2011 Sep. 07,04:59,123,  2.8e−3,6.4±0.4,65.7,84000
7, 2011 Sep. 22,,-89, 3.5e−3,526.1,2700000, 2011 Sep. 22,15:35:00,167,0.015,11.2±0.3,259.4,800000, 2011 Sep. 22,11:18,8,9.6e−1,2.4±0.2,60.7,100000000
8, 2011 Oct. 04,,,,,, 2011 Oct. 04,18:35:00,105,0.0037,8.4±0.9,85.7,230000, 2011 Oct. 04,15:06,-53,  2.1e−2,5.1±0.2,161.5,900000
9, 2011 Nov. 03,23:39,-152,  5.5e−3,229.3,170000, 2011 Nov. 03,23:10:00,103,0.49,2.0±0.2,171,4700000, 2011 Nov. 03,23:51,-50,  1.4e−2,1.3±0.2,120.1,320000
