,Date, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,X-ray,X-ray
ID,Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],ΦC [°],VDA s [AU],VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,"flare max. Date
DI/dt","flare max. [UT]
DI/dt"
1,2011 Jan. 28,01:56,5,1.96±0.11,2011 Jan. 28,01:12±00:08,0.951,2011 Jan. 28,02:37,-46,1.53±0.37,02:25±00:15,0.776,,,,,,,,2011 Jan. 28,00:58
2, 2011 Feb. 15,03:39,-47,  3.23±0.24, 2011 Feb. 15,  01:55±00:21,0.917,,,,,,, 2011 Feb. 15,03:18,22,1.30±0.19, 2011 Feb. 15,03:06±00:08,0.88, 2011 Feb. 15,01:52
3, 2011 Mar. 07,21:06,-16,  1.77±0.11, 2011 Mar. 07,  20:37±00:08,0.944, 2011 Mar. 08,19:14,-84,,,, 2011 Mar. 07,21:46,81,0.38±0.11, 2011 Mar. 07,21:45±00:04,0.625, 2011 Mar. 07,19:56
4, 2011 Mar. 21,03:27,59, 2.41±0.09, 2011 Mar. 21, 02:39±00:07,0.978, 2011 Mar. 21,02:56,-16,1.16±0.08,02:43±00:04,0.953,,,,,,,,,
5, 2011 Aug. 04,04:40,-36,  1.78±0.09, 2011 Aug. 04,  04:22±00:08,0.853, 2011 Aug. 05,06:49,-122,18.78±3.53,09:35±02:23,0.905, 2011 Aug. 04,20:26,66,7.92±2.45, 2011 Aug. 04,17:36±01:43,0.723, 2011 Aug. 04,03:53
6, 2011 Sep. 06,23:27,-34,  1.85±0.21, 2011 Sep. 06,  23:24±00:16,0.819,,,,,,, 2011 Sep. 07,04:59,73,,,,, 2011 Sep. 06,22:18
7,  2011 Sep. 22,             ,-153,   ,,   ,   ,  2011 Sep. 22,15:35,99,6.88±1.02    ,14:10±00:39,0.821,  2011 Sep. 22,11:18,-50,1.97±0.10    ,  2011 Sep. 22,10:42±00:04,0.979,  2011 Sep. 22,10:44
8,  2011 Oct. 04,,,,,,,  2011 Oct. 04,18:35,50,,,,  2011 Oct. 04,15:06,-95,1.66±0.21  ,  2011 Oct. 04,14:48±00:08,0.884,,
9,  2011 Nov. 03,23:39,135,2.83±0.14,  2011 Nov. 03,22:24±00:10,0.962,  2011 Nov. 03,23:10,12,1.23±0.09    ,23:00±00:05  ,0.953,  2011 Nov. 03,23:51,-139,2.55±0.19    ,  2011 Nov. 03,23:05±00:08,0.954,,
