,Date,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,SOHO 55–80 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+, X-ray, X-ray
ID  ,Date,Onset [UT],ΦC [°],TSA L [AU],TSA trel Date,TSA trel + 500 s [UT],Onset Date,Onset [UT],φC  [°] ,TSA L [AU], TSA trel Date, TSA trel + 500 s [UT],Onset Date,Onset [UT],ΦC  [°],TSA L [AU], TSA trel Date, TSA trel + 500 s [UT],flare max. Date,flare max. dI/dt [UT]
1,2011 Jan. 28,01:56,5,1.24,2011 Jan. 28,01:36±00:10,2011 Jan. 28,02:37,-46,1.06,2011 Jan. 28,02:20±00:13,,,,,,,2011 Jan. 28,00:58
2,2011 Feb. 15,03:39,-47,1.11,2011 Feb. 15,03:22±00:37,,,,,,,2011 Feb. 15,03:18,22,1.31,2011 Feb. 15, 02:55±00:10 ,2011 Feb. 15,01:52
3,2011 Mar. 07,21:06,-16,1.16,2011 Mar. 07,20:48±00:12,2011 Mar. 08,19:14,-84,1.05,2011 Mar. 08,18:57±00:57,2011 Mar. 07,21:46,81,1.19,2011 Mar. 07,21:26±00:10,2011 Mar. 07,19:56
4,2011 Mar. 21,03:27,59,1.19,2011 Mar. 21, 03:08±00:10,2011 Mar. 21,02:56,-16,1.1,2011 Mar. 21,02:38±00:10,,,,,,,,
5,2011 Aug. 04,04:40,-36,1.22,2011 Aug. 04, 04:21±00:12,2011 Aug. 05,06:49,-122,1.11,2011 Aug. 05,06:31±02:26,2011 Aug. 04,20:26,66,1.23,2011 Aug. 04,20:05±01:11,2011 Aug. 04,03:53
6,2011 Sep. 06,23:27,-34,1.16,2011 Sep. 06,23:09±00:10,, ,,,,,2011 Sep. 07,04:59,73,1.19,2011 Sep. 06,04:39±00:26,2011 Sep. 06,22:18
7,2011 Sep. 22,,-53,1.17,,,2011 Sep. 22,15:35,99,1.16,2011 Sep. 22,15:16±00:16,2011 Sep. 22,11:18,-50,1.24,2011 Sep. 22, 10:57±00:10,2011 Sep. 22,10:44
8,2011 Oct. 04,,,,,,2011 Oct. 04,18:35,50,1.1,2011 Oct. 04,18:17±00:55,2011 Oct. 04,15:06,-95,1.17,2011 Oct. 04,14:47±00:11,,
9,2011 Nov. 03,23:39,135,1.2,2011 Nov. 03,  23:20±00:12,2011 Nov. 03,23:10,12,1.28,2011 Nov. 03,22:48±00:10,2011 Nov. 03,23:51,-139,1.44,2011 Nov. 03,23:25±00:10,,
