,Date,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,ACE/EPAM 0.18–0.31 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STA/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-,STB/SEPT 0.165–0.335 MeV e-
ID,Date,Onset [UT],∆φ [°],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Data type,Onset Date ,Onset [UT],∆φ [°] ,Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Onset Date,Onset [UT],∆φ [°],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + Date,TSA trel + 500 s [UT]
1,2011 Jan. 28,01:34:00,88,87,1.5±0.1,1.24,01:28±00:05 ,LF,2011 Jan. 28,01:27:00,1,75,1.3±0.1 ,1.06,01:23±00:05,,,,,,,,
2,2011 Feb. 15,02:22:00,10,67,7.9±0.1,1.11,02:18±00:08 ,LF,,       ,,,,,,2011 Feb. 15,02:40:00,104,240, 1.8±0.1   ,1.31,2011 Feb. 15, 02:33±00:05
3,2011 Mar. 07,20:58:00,48,1800,15.1±0.1,1.16,20:53±00:05 ,DE,2011 Mar. 07,22:02:00,-40,IC ,30.3±0.1 ,1.05,21:58±00:08,2011 Mar. 07,20:19:00,143,1300, 0.1±0.1   ,1.19,2011 Mar. 07, 20:14±00:05
4,2011 Mar. 21,03:23:00,130,230,4.6±0.2,1.19,03:18±00:13,DE,2011 Mar. 21,02:32:00,42,7300,1.1±0.1,1.1,02:28±00:05,2011 Mar. 21,01:38:00,-135,65, 6.9±2.3   ,1.18,2011 Mar. 21, 01:33±02:20
5,2011 Aug. 04,04:36:00,36,2400,3.1±0.1,1.22,04:30±00:05,DE,,,,,,,,,,,,,,,
6,2011 Sep. 06,23:32:00,28,210,2.4±0.1,1.16,23:27±00:05,DE,,,,,,,,2011 Sep. 07,01:04:00,123,26,4.6±0.1   ,1.19,2011 Sep. 07,00:59±00:08
7,2011 Sep. 22,14:23:00,-89, ,,1.17,14:18±00:06,DE,,IC,167,IC ,,1.16,,2011 Sep. 22,10:57:00,8,22000,18.5±0.1 ,1.24,2011 Sep. 22,10:51±00:05
8,2011 Oct. 04,,,,,,,,2011 Oct. 04,14:36:00,105,740, 13.4±0.1 ,1.1, 14:32±00:05  ,,IC,-53,  IC ,        ,1.17,, 
9,2011 Nov. 03,23:20:00,-152,170, 6.7±0.1,1.2,23:15±00:08,DE,2011 Nov. 03,22:39:00,103,5600, 2.6±0.1  ,1.28,22:33±00:05,2011 Nov. 03,23:32:00,-50,160,5.7±0.1,1.44,2011 Nov. 03,23:24±00:08
10,2012 Jan. 23   ,04:02:00,25,18000,4.0±0.3,1.12,03:58±00:17,LF,2012 Jan. 23,06:17:00,-83,5800,54.3±0.9 ,1.09,06:13±00:54,,IC,139,2000,,1.33,,
