,Date,GOES/STEREO flare,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+
ID,Date,Onset [UT],Onset [UT],delta phi [deg.],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],Onset Date,Onset [UT],delta phi [deg.],VDA s [AU],VDA t0 + 500 s [UT],Onset Date,Onset [UT],delta phi [deg.],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT]
1,2011 Jan. 28,28/01/11 00:44,01:56,88.0,1.96 \pm 0.11,2011 Jan. 28,01:12 \pm 00:08,2011 Jan. 28,02:37,1.0,1.53 \pm 0.37,02:25 \pm 00:15,,,,,,
2,2011 Feb. 15,15/02/11 01:44,03:39,10.0,3.23 \pm 0.24,2011 Feb. 15,01:55 \pm 00:21,,,,,,2011 Feb. 15,03:18,104.0,1.30 \pm 0.19,2011 Feb. 15,03:06 \pm 00:08
3,2011 Mar. 07,07/03/11 19:43,21:06,48.0,1.77 \pm 0.11,2011 Mar. 07,20:37 \pm 00:08,2011 Mar. 08,19:14,-40.0,,,2011 Mar. 07,21:46,143.0,0.38 \pm 0.11,2011 Mar. 07,21:45 \pm 00:04
4,2011 Mar. 21,Farside,03:27,130.0,2.41 \pm 0.09,2011 Mar. 21,02:39 \pm 00:07,2011 Mar. 21,02:56,42.0,1.16 \pm 0.08,02:43 \pm 00:04,,,,,,
5,2011 Aug. 04,04/08/11 03:41,04:40,36.0,1.78 \pm 0.09,2011 Aug. 04,04:22 \pm 00:08,2011 Aug. 05,06:49,-65.0,18.78 \pm 3.53,09:35 \pm 02:23,2011 Aug. 04,20:26,128.0,7.92 \pm 2.45,2011 Aug. 04,17:36 \pm 01:43
6,2011 Sep. 06,06/09/11 22:12,23:27,28.0,1.85 \pm 0.21,2011 Sep. 06,23:24 \pm 00:16,,,,,,2011 Sep. 07,04:59,123.0,,,
7,2011 Sep. 22,22/09/11 10:29,,-89.0,,,,2011 Sep. 22,15:35,167.0,6.88 \pm 1.02,14:10 \pm 00:39,2011 Sep. 22,11:18,8.0,1.97 \pm 0.10,2011 Sep. 22,10:42 \pm 00:04
8,2011 Oct. 04,Farside,,,,,,2011 Oct. 04,18:35,105.0,,,2011 Oct. 04,15:06,-53.0,1.66 \pm 0.21,2011 Oct. 04,14:48 \pm 00:08
9,2011 Nov. 03,Farside,23:39,-152.0,2.83 \pm 0.14,2011 Nov. 03,22:24 \pm 00:10,2011 Nov. 03,23:10,103.0,1.23 \pm 0.09,23:00 \pm 00:05,2011 Nov. 03,23:51,-50.0,2.55 \pm 0.19,2011 Nov. 03,23:05 \pm 00:08
10,2012 Jan. 23,23/01/12 03:38,,25.0,,,,2012 Jan. 23,14:28,-83.0,,,2012 Jan. 23,06:48,139.0,,,
11,2012 Jan. 27,27/01/12 17:37,18:48,71.0,3.26 \pm 0.12,2012 Jan. 27,17:59 \pm 00:10,2012 Jan. 27,21:08,-37.0,6.91 \pm 0.99,19:23 \pm 00:35,2012 Jan. 29,08:26,-175.0,,,
12,2012 Mar. 05,05/03/12 02:30,09:57,-54.0,,,,,,,,,2012 Mar. 05,06:27,64.0,14.96 \pm 2.79,2012 Mar. 05,02:03 \pm 02:50
13,2012 Mar. 07,07/03/12 00:02,02:11,-27.0,3.84 \pm 0.69,2012 Mar. 07,03:09 \pm 00:50,2012 Mar. 07,05:57,-136.0,3.02 \pm 1.70,05:35 \pm 00:50,2012 Mar. 07,01:21,91.0,1.86 \pm 0.05,2012 Mar. 07,00:46 \pm 00:02
14,2012 Mar. 24,Farside,,,,,,2012 Mar. 24,00:56,84.0,1.53 \pm 0.05,00:38 \pm 00:03,2012 Mar. 24,06:08,-48.0,11.38 \pm 1.80,2012 Mar. 24,02:13 \pm 01:08
15,2012 May. 17,17/05/12 01:25,01:54,76.0,2.93 \pm 0.17,2012 May. 17,00:48 \pm 00:14,2012 May. 17,12:28,-39.0,13.37 \pm 2.96,09:14 \pm 01:46,,,,,,
16,2012 Jul. 08,08/07/12 16:23,,83.0,,,,2012 Jul. 08,18:38,-37.0,10.66 \pm 4.84,15:34 \pm 02:15,,,,,,
17,2012 Jul. 12,12/07/12 15:37,,15.0,,,,,,,,,2012 Jul. 12,17:35,130.0,0.89 \pm 0.08,2012 Jul. 12,17:33 \pm 00:04
18,2012 Jul. 23,Farside,05:57,137.0,2.85 \pm 0.29,2012 Jul. 23,05:39 \pm 00:22,2012 Jul. 23,03:28,16.0,1.28 \pm 0.13,03:07 \pm 00:06,2012 Jul. 23,23:34,-108.0,,,
19,2012 Sep. 20,Farside,,,,,,2012 Sep. 20,16:42,76.0,,,2012 Sep. 20,20:19,-42.0,,,
20,2012 Sep. 28,27/09/12 23:36,,32.0,,,,2012 Sep. 28,07:29,-93.0,,,2012 Sep. 28,02:38,150.0,0.40 \pm 0.14,2012 Sep. 28,02:54 \pm 00:06
21,2012 Nov. 08,Farside,,164.0,,,,2012 Nov. 08,11:22,37.0,1.58 \pm 0.11,11:00 \pm 00:04,,,,,,
22,2013 Mar. 05,Farside,,,,,,2013 Mar. 05,03:57,84.0,1.21 \pm 0.06,03:43 \pm 00:03,2013 Mar. 05,07:10,-5.0,4.12 \pm 0.74,2013 Mar. 05,06:21 \pm 00:29
23,2013 Apr. 11,11/04/13 06:55,08:10,-12.0,2.03 \pm 0.09,2013 Apr. 11,07:22 \pm 00:07,,,,,,2013 Apr. 11,07:52,130.0,1.98 \pm 0.13,2013 Apr. 11,07:21 \pm 00:05
24,2013 Apr. 24,Farside,22:53,167.0,1.33 \pm 0.03,2013 Apr. 24,22:30 \pm 00:04,2013 Apr. 24,23:16,32.0,1.12 \pm 0.51,23:51 \pm 00:22,,,,,,
25,2013 May. 15,15/05/13 01:25,10:19,-64.0,3.21 \pm 0.33,2013 May. 15,06:56 \pm 00:28,,,,,,,BG,,,,
26,2013 May. 22,22/05/13 13:08,13:47,15.0,1.70 \pm 0.04,2013 May. 22,13:18 \pm 00:04,2013 May. 23,02:55,-122.0,,,,,,,,
27,2013 Aug. 20,Farside,,,,,,2013 Aug. 20,01:41,34.0,4.45 \pm 0.37,00:17 \pm 00:13,2013 Aug. 20,08:12,-44.0,9.12 \pm 1.29,2013 Aug. 20,04:42 \pm 00:51
28,2013 Sep. 30,29/09/13 21:43,,33.0,,,,,,,,,2013 Sep. 30,09:56,172.0,6.63 \pm 1.46,2013 Sep. 30,07:22 \pm 00:59
29,2013 Oct. 05,Farside,,,,,,2013 Oct. 05,08:24,92.0,2.48 \pm 0.36,07:54 \pm 00:13,2013 Oct. 05,21:46,19.0,,,
30,2013 Oct. 11,11/10/13 07:01,18:00,-44.0,MR,,,2013 Oct. 11,07:58,169.0,1.60 \pm 0.08,07:39 \pm 00:04,2013 Oct. 11,08:29,96.0,2.18 \pm 0.14,2013 Oct. 11,08:01 \pm 00:08
31,2013 Oct. 25,25/10/13 07:53,13:49,-73.0,5.15 \pm 0.18,2013 Oct. 25,09:54 \pm 00:22,,,,,,2013 Oct. 25,09:41,69.0,4.86 \pm 0.24,2013 Oct. 25,07:51 \pm 00:10
32,2013 Oct. 28,28/10/13 15:07,18:49,-28.0,,,,2013 Oct. 28,20:05,-176.0,,,2013 Oct. 28,17:01,114.0,4.77 \pm 0.22,2013 Oct. 28,15:36 \pm 00:10
33,2013 Nov. 02,Farside,,133.0,,,,2013 Nov. 02,05:02,-15.0,1.33 \pm 0.05,04:40 \pm 00:03,2013 Nov. 02,07:24,-84.0,2.63 \pm 0.31,2013 Nov. 02,06:56 \pm 00:13
34,2013 Nov. 07,Farside,,-151.0,,,,2013 Nov. 07,10:54,60.0,2.03 \pm 0.13,10:24 \pm 00:05,2013 Nov. 07,11:11,-7.0,1.90 \pm 0.42,2013 Nov. 07,10:52 \pm 00:18
35,2013 Dec. 26,Farside,,,,,,2013 Dec. 26,06:04,45.0,,,2013 Dec. 26,07:59,-13.0,,,
36,2013 Dec. 28,Farside,18:32,125.0,2.06 \pm 0.01,2013 Dec. 28,17:55 \pm 00:01,2013 Dec. 29,06:18,-26.0,,,2013 Dec. 29,01:31,-83.0,12.60 \pm 4.45,2013 Dec. 28,19:55 \pm 02:32
37,2014 Jan. 06,06/01/14 07:27,,89.0,,,,2014 Jan. 06,12:42,-62.0,4.93 \pm 3.02,11:45 \pm 01:52,2014 Jan. 07,00:58,-118.0,17.27 \pm 4.68,2014 Jan. 06,19:30 \pm 03:03
38,2014 Jan. 07,07/01/14 18:04,19:25,8.0,3.71 \pm 0.02,2014 Jan. 07,18:10 \pm 00:03,2014 Jan. 08,00:41,-143.0,16.21 \pm 1.67,19:07 \pm 01:02,2014 Jan. 08,01:31,161.0,8.53 \pm 1.97,2014 Jan. 07,22:43 \pm 01:18
39,2014 Feb. 25,25/02/14 00:39,03:05,-82.0,4.23 \pm 0.10,2014 Feb. 25,01:55 \pm 00:11,2014 Feb. 25,01:35,125.0,1.11 \pm 0.07,01:29 \pm 00:04,2014 Feb. 25,01:36,78.0,1.63 \pm 0.11,2014 Feb. 25,01:14 \pm 00:05
40,2014 Mar. 04,04/03/14 18:04,,,,,,2014 Mar. 04,19:24,-65.0,1.87 \pm 0.34,19:02 \pm 00:12,2014 Mar. 05,10:35,-111.0,,,
41,2014 Mar. 05,Farside,,,,,,2014 Mar. 05,14:48,28.0,4.38 \pm 0.58,13:35 \pm 00:21,2014 Mar. 05,21:49,-18.0,,,
42,2014 Sep. 01,Farside,20:41,-128.0,9.20 \pm 0.27,2014 Sep. 01,17:39 \pm 00:31,,,65.0,,,2014 Sep. 01,11:49,33.0,2.42 \pm 0.39,2014 Sep. 01,11:30 \pm 00:17
43,2014 Sep. 10,10/09/14 17:21,19:28,-2.0,1.90 \pm 0.16,2014 Sep. 10,19:44 \pm 00:14,,BG,,,,2014 Sep. 10,21:39,159.0,7.78 \pm 1.82,2014 Sep. 10,19:47 \pm 01:13
44,2014 Sep. 25,Farside,00:05,-175.0,6.05 \pm 0.25,2014 Sep. 24,22:25 \pm 00:36,,,17.0,,,2014 Sep. 24,22:47,-14.0,4.11 \pm 0.26,2014 Sep. 24,21:38 \pm 00:14
45,2014 Dec. 13,Farside,,141.0,,,,,,,,,,,,,,
46,2015 Jul. 01,,15:32,,1.41 \pm 0.05,2015 Jul. 01,15:02 \pm 00:04,,,,,,,,,,,
